id,name,role,email
24CS036,Paula Johnson,STUDENT,paulajohnson1st.cse@citchennai.net
24CS037,Nina Clark,STUDENT,ninaclark1st.cse@citchennai.net
24CS038,Julia Johnson,STUDENT,juliajohnson1st.cse@citchennai.net
24CS039,Bob Williams,STUDENT,bobwilliams1st.cse@citchennai.net
24CS040,Aiden Harris,STUDENT,aidenharris1st.cse@citchennai.net
24CS041,Yara White,STUDENT,yarawhite1st.cse@citchennai.net
24CS042,John Martinez,STUDENT,johnmartinez1st.cse@citchennai.net
24CS043,Jane White,STUDENT,janewhite1st.cse@citchennai.net
24CS044,George Jones,STUDENT,georgejones1st.cse@citchennai.net
24CS045,Tina Young,STUDENT,tinayoung1st.cse@citchennai.net
24CS046,Rachel Brown,STUDENT,rachelbrown1st.cse@citchennai.net
24CS047,Quinn Wilson,STUDENT,quinnwilson1st.cse@citchennai.net
24CS048,Jane Young,STUDENT,janeyoung1st.cse@citchennai.net
24CS049,Lily Walker,STUDENT,lilywalker1st.cse@citchennai.net
24CS050,Rachel Hernandez,STUDENT,rachelhernandez1st.cse@citchennai.net
24CS051,Rachel Anderson,STUDENT,rachelanderson1st.cse@citchennai.net
24CS052,Tina Martin,STUDENT,tinamartin1st.cse@citchennai.net
24CS053,Ethan Lee,STUDENT,ethanlee1st.cse@citchennai.net
24CS054,Kevin Young,STUDENT,kevinyoung1st.cse@citchennai.net
24CS055,Nina Thompson,STUDENT,ninathompson1st.cse@citchennai.net
24CS056,Nina Hall,STUDENT,ninahall1st.cse@citchennai.net
24CS057,Emily Martinez,STUDENT,emilymartinez1st.cse@citchennai.net
24CS058,Charlie Lewis,STUDENT,charlielewis1st.cse@citchennai.net
24CS059,John Hall,STUDENT,johnhall1st.cse@citchennai.net
24CS060,Xavier Davis,STUDENT,xavierdavis1st.cse@citchennai.net
24CS061,Hannah Thompson,STUDENT,hannahthompson1st.cse@citchennai.net
24CS062,Fiona Williams,STUDENT,fionawilliams1st.cse@citchennai.net
24CS063,Ian Young,STUDENT,ianyoung1st.cse@citchennai.net
24CS064,Chloe Martinez,STUDENT,chloemartinez1st.cse@citchennai.net
24CS065,Jane King,STUDENT,janeking1st.cse@citchennai.net
24CS066,Rachel Moore,STUDENT,rachelmoore1st.cse@citchennai.net
24CS067,Mike Jones,STUDENT,mikejones1st.cse@citchennai.net
24CS068,Paula Moore,STUDENT,paulamoore1st.cse@citchennai.net
24CS069,Jack Thomas,STUDENT,jackthomas1st.cse@citchennai.net
24CS070,Julia White,STUDENT,juliawhite1st.cse@citchennai.net
24CS071,Sam Smith,STUDENT,samsmith1st.cse@citchennai.net
24CS072,Zack Wilson,STUDENT,zackwilson1st.cse@citchennai.net
24CS073,Chloe Taylor,STUDENT,chloetaylor1st.cse@citchennai.net
24CS074,Bob Johnson,STUDENT,bobjohnson1st.cse@citchennai.net
24CS075,Diana Johnson,STUDENT,dianajohnson1st.cse@citchennai.net
24CS076,Diana Davis,STUDENT,dianadavis1st.cse@citchennai.net
24CS077,Isabella Lewis,STUDENT,isabellalewis1st.cse@citchennai.net
24CS078,Quinn Miller,STUDENT,quinnmiller1st.cse@citchennai.net
24CS079,Fiona Moore,STUDENT,fionamoore1st.cse@citchennai.net
24CS080,Mike King,STUDENT,mikeking1st.cse@citchennai.net
24CS081,Uma Martinez,STUDENT,umamartinez1st.cse@citchennai.net
24CS082,Yara Wilson,STUDENT,yarawilson1st.cse@citchennai.net
24CS083,Wendy Johnson,STUDENT,wendyjohnson1st.cse@citchennai.net
24CS084,Rachel Davis,STUDENT,racheldavis1st.cse@citchennai.net
24CS085,Bob Clark,STUDENT,bobclark1st.cse@citchennai.net
24CS086,Quinn Walker,STUDENT,quinnwalker1st.cse@citchennai.net
24CS087,Henry King,STUDENT,henryking1st.cse@citchennai.net
24CS088,Kevin Jackson,STUDENT,kevinjackson1st.cse@citchennai.net
24CS089,John Young,STUDENT,johnyoung1st.cse@citchennai.net
24CS090,Nina Williams,STUDENT,ninawilliams1st.cse@citchennai.net
24CS091,Sam Lee,STUDENT,samlee1st.cse@citchennai.net
24CS092,Quinn Rodriguez,STUDENT,quinnrodriguez1st.cse@citchennai.net
24CS093,Bella Martin,STUDENT,bellamartin1st.cse@citchennai.net
24CS094,Bella Lewis,STUDENT,bellalewis1st.cse@citchennai.net
24CS095,Xavier Lee,STUDENT,xavierlee1st.cse@citchennai.net
24CS096,Bella Thomas,STUDENT,bellathomas1st.cse@citchennai.net
24CS097,Emily Lewis,STUDENT,emilylewis1st.cse@citchennai.net
24CS098,Isabella Anderson,STUDENT,isabellaanderson1st.cse@citchennai.net
24CS099,Julia Jackson,STUDENT,juliajackson1st.cse@citchennai.net
24CS100,Mike Jones,STUDENT,mikejones1st.cse@citchennai.net
24CS101,Jack Martinez,STUDENT,jackmartinez1st.cse@citchennai.net
24CS102,Oliver Clark,STUDENT,oliverclark1st.cse@citchennai.net
24CS103,Kevin Williams,STUDENT,kevinwilliams1st.cse@citchennai.net
24CS104,Lily Hernandez,STUDENT,lilyhernandez1st.cse@citchennai.net
24CS105,Grace Clark,STUDENT,graceclark1st.cse@citchennai.net
24CS106,Laura Anderson,STUDENT,lauraanderson1st.cse@citchennai.net
24CS107,John Robinson,STUDENT,johnrobinson1st.cse@citchennai.net
24CS108,Fiona Martin,STUDENT,fionamartin1st.cse@citchennai.net
24CS109,Ethan Williams,STUDENT,ethanwilliams1st.cse@citchennai.net
24CS110,Nina Young,STUDENT,ninayoung1st.cse@citchennai.net
24CS111,Paula Miller,STUDENT,paulamiller1st.cse@citchennai.net
24CS112,Emily Hernandez,STUDENT,emilyhernandez1st.cse@citchennai.net
24CS113,Chloe Jackson,STUDENT,chloejackson1st.cse@citchennai.net
24CS114,Wendy Jones,STUDENT,wendyjones1st.cse@citchennai.net
24CS115,Wendy Young,STUDENT,wendyyoung1st.cse@citchennai.net
24CS116,Chloe Martinez,STUDENT,chloemartinez1st.cse@citchennai.net
24CS117,Ian Lee,STUDENT,ianlee1st.cse@citchennai.net
24CS118,Wendy King,STUDENT,wendyking1st.cse@citchennai.net
24CS119,John Moore,STUDENT,johnmoore1st.cse@citchennai.net
24CS120,Victor Robinson,STUDENT,victorrobinson1st.cse@citchennai.net
23CS001,Diana Walker,STUDENT,dianawalker2nd.cse@citchennai.net
23CS002,Emily Jones,STUDENT,emilyjones2nd.cse@citchennai.net
23CS003,Hannah Jones,STUDENT,hannahjones2nd.cse@citchennai.net
23CS004,Charlie Lewis,STUDENT,charlielewis2nd.cse@citchennai.net
23CS005,George White,STUDENT,georgewhite2nd.cse@citchennai.net
23CS006,Lily Jackson,STUDENT,lilyjackson2nd.cse@citchennai.net
23CS007,Kevin White,STUDENT,kevinwhite2nd.cse@citchennai.net
23CS008,Zack Allen,STUDENT,zackallen2nd.cse@citchennai.net
23CS009,Emily King,STUDENT,emilyking2nd.cse@citchennai.net
23CS010,Bob Rodriguez,STUDENT,bobrodriguez2nd.cse@citchennai.net
23CS011,Quinn King,STUDENT,quinnking2nd.cse@citchennai.net
23CS012,Tina White,STUDENT,tinawhite2nd.cse@citchennai.net
23CS013,Quinn Garcia,STUDENT,quinngarcia2nd.cse@citchennai.net
23CS014,Zack White,STUDENT,zackwhite2nd.cse@citchennai.net
23CS015,Julia Hernandez,STUDENT,juliahernandez2nd.cse@citchennai.net
23CS016,Xavier Rodriguez,STUDENT,xavierrodriguez2nd.cse@citchennai.net
23CS017,Zack King,STUDENT,zackking2nd.cse@citchennai.net
23CS018,Nina Lee,STUDENT,ninalee2nd.cse@citchennai.net
23CS019,Fiona Clark,STUDENT,fionaclark2nd.cse@citchennai.net
23CS020,Tina Rodriguez,STUDENT,tinarodriguez2nd.cse@citchennai.net
23CS021,Sam Walker,STUDENT,samwalker2nd.cse@citchennai.net
23CS022,Kevin Wilson,STUDENT,kevinwilson2nd.cse@citchennai.net
23CS023,Jack Anderson,STUDENT,jackanderson2nd.cse@citchennai.net
23CS024,Fiona Jackson,STUDENT,fionajackson2nd.cse@citchennai.net
23CS025,Jane Harris,STUDENT,janeharris2nd.cse@citchennai.net
23CS026,Diana Walker,STUDENT,dianawalker2nd.cse@citchennai.net
23CS027,Tina Robinson,STUDENT,tinarobinson2nd.cse@citchennai.net
23CS028,Wendy King,STUDENT,wendyking2nd.cse@citchennai.net
23CS029,Isabella Jones,STUDENT,isabellajones2nd.cse@citchennai.net
23CS030,Bob Taylor,STUDENT,bobtaylor2nd.cse@citchennai.net
23CS031,Wendy Williams,STUDENT,wendywilliams2nd.cse@citchennai.net
23CS032,Jack White,STUDENT,jackwhite2nd.cse@citchennai.net
23CS033,Diana Young,STUDENT,dianayoung2nd.cse@citchennai.net
23CS034,Ethan Thomas,STUDENT,ethanthomas2nd.cse@citchennai.net
23CS035,Rachel Harris,STUDENT,rachelharris2nd.cse@citchennai.net
23CS036,Laura Brown,STUDENT,laurabrown2nd.cse@citchennai.net
23CS037,Henry Miller,STUDENT,henrymiller2nd.cse@citchennai.net
23CS038,Alice Anderson,STUDENT,aliceanderson2nd.cse@citchennai.net
23CS039,Diana Allen,STUDENT,dianaallen2nd.cse@citchennai.net
23CS040,Finn Lewis,STUDENT,finnlewis2nd.cse@citchennai.net
23CS041,Henry Smith,STUDENT,henrysmith2nd.cse@citchennai.net
23CS042,Fiona Martinez,STUDENT,fionamartinez2nd.cse@citchennai.net
23CS043,Laura Thomas,STUDENT,laurathomas2nd.cse@citchennai.net
23CS044,Victor Martin,STUDENT,victormartin2nd.cse@citchennai.net
23CS045,Daniel Moore,STUDENT,danielmoore2nd.cse@citchennai.net
23CS046,Lily Moore,STUDENT,lilymoore2nd.cse@citchennai.net
23CS047,Mike Rodriguez,STUDENT,mikerodriguez2nd.cse@citchennai.net
23CS048,Zack Thompson,STUDENT,zackthompson2nd.cse@citchennai.net
23CS049,Aiden Lee,STUDENT,aidenlee2nd.cse@citchennai.net
23CS050,Sam Robinson,STUDENT,samrobinson2nd.cse@citchennai.net
23CS051,Sam Rodriguez,STUDENT,samrodriguez2nd.cse@citchennai.net
23CS052,Alice Lewis,STUDENT,alicelewis2nd.cse@citchennai.net
23CS053,Xavier White,STUDENT,xavierwhite2nd.cse@citchennai.net
23CS054,Caleb Hall,STUDENT,calebhall2nd.cse@citchennai.net
23CS055,Mike Lee,STUDENT,mikelee2nd.cse@citchennai.net
23CS056,John Harris,STUDENT,johnharris2nd.cse@citchennai.net
23CS057,Lily Garcia,STUDENT,lilygarcia2nd.cse@citchennai.net
23CS058,Uma Taylor,STUDENT,umataylor2nd.cse@citchennai.net
23CS059,Bella Lee,STUDENT,bellalee2nd.cse@citchennai.net
23CS060,Mike Garcia,STUDENT,mikegarcia2nd.cse@citchennai.net
23CS061,Alice Garcia,STUDENT,alicegarcia2nd.cse@citchennai.net
23CS062,Ian Thompson,STUDENT,ianthompson2nd.cse@citchennai.net
23CS063,Daniel Moore,STUDENT,danielmoore2nd.cse@citchennai.net
23CS064,Aiden Taylor,STUDENT,aidentaylor2nd.cse@citchennai.net
23CS065,Alice Davis,STUDENT,alicedavis2nd.cse@citchennai.net
23CS066,Uma Lee,STUDENT,umalee2nd.cse@citchennai.net
23CS067,Oliver Wilson,STUDENT,oliverwilson2nd.cse@citchennai.net
23CS068,Daniel Williams,STUDENT,danielwilliams2nd.cse@citchennai.net
23CS069,Quinn Robinson,STUDENT,quinnrobinson2nd.cse@citchennai.net
23CS070,Caleb Miller,STUDENT,calebmiller2nd.cse@citchennai.net
23CS071,Mike Smith,STUDENT,mikesmith2nd.cse@citchennai.net
23CS072,Jack Walker,STUDENT,jackwalker2nd.cse@citchennai.net
23CS073,Nina Young,STUDENT,ninayoung2nd.cse@citchennai.net
23CS074,Ethan Jackson,STUDENT,ethanjackson2nd.cse@citchennai.net
23CS075,Tina Anderson,STUDENT,tinaanderson2nd.cse@citchennai.net
23CS076,Jack Young,STUDENT,jackyoung2nd.cse@citchennai.net
23CS077,Hannah Young,STUDENT,hannahyoung2nd.cse@citchennai.net
23CS078,Quinn Rodriguez,STUDENT,quinnrodriguez2nd.cse@citchennai.net
23CS079,Xavier Walker,STUDENT,xavierwalker2nd.cse@citchennai.net
23CS080,Fiona Moore,STUDENT,fionamoore2nd.cse@citchennai.net
23CS081,Diana Rodriguez,STUDENT,dianarodriguez2nd.cse@citchennai.net
23CS082,Laura Thomas,STUDENT,laurathomas2nd.cse@citchennai.net
23CS083,Yara Young,STUDENT,yarayoung2nd.cse@citchennai.net
23CS084,Uma Thompson,STUDENT,umathompson2nd.cse@citchennai.net
23CS085,Uma Anderson,STUDENT,umaanderson2nd.cse@citchennai.net
23CS086,George Jones,STUDENT,georgejones2nd.cse@citchennai.net
23CS087,Aiden Moore,STUDENT,aidenmoore2nd.cse@citchennai.net
23CS088,Yara Garcia,STUDENT,yaragarcia2nd.cse@citchennai.net
23CS089,Henry Young,STUDENT,henryyoung2nd.cse@citchennai.net
23CS090,Xavier Harris,STUDENT,xavierharris2nd.cse@citchennai.net
22CS001,Kevin Young,STUDENT,kevinyoung3rd.cse@citchennai.net
22CS002,Rachel Brown,STUDENT,rachelbrown3rd.cse@citchennai.net
22CS003,Yara Smith,STUDENT,yarasmith3rd.cse@citchennai.net
22CS004,Mike Martin,STUDENT,mikemartin3rd.cse@citchennai.net
22CS005,Julia Brown,STUDENT,juliabrown3rd.cse@citchennai.net
22CS006,Chloe Hall,STUDENT,chloehall3rd.cse@citchennai.net
22CS007,Caleb Williams,STUDENT,calebwilliams3rd.cse@citchennai.net
22CS008,Isabella Anderson,STUDENT,isabellaanderson3rd.cse@citchennai.net
22CS009,Uma Anderson,STUDENT,umaanderson3rd.cse@citchennai.net
22CS010,Ian Jackson,STUDENT,ianjackson3rd.cse@citchennai.net
22CS011,Kevin Taylor,STUDENT,kevintaylor3rd.cse@citchennai.net
22CS012,Finn Anderson,STUDENT,finnanderson3rd.cse@citchennai.net
22CS013,Paula Robinson,STUDENT,paularobinson3rd.cse@citchennai.net
22CS014,Victor Martinez,STUDENT,victormartinez3rd.cse@citchennai.net
22CS015,Oliver Hernandez,STUDENT,oliverhernandez3rd.cse@citchennai.net
22CS016,Zack Jones,STUDENT,zackjones3rd.cse@citchennai.net
22CS017,Fiona Miller,STUDENT,fionamiller3rd.cse@citchennai.net
22CS018,Xavier Jackson,STUDENT,xavierjackson3rd.cse@citchennai.net
22CS019,Bob Anderson,STUDENT,bobanderson3rd.cse@citchennai.net
22CS020,Xavier Jones,STUDENT,xavierjones3rd.cse@citchennai.net
22CS021,Alice King,STUDENT,aliceking3rd.cse@citchennai.net
22CS022,Uma Allen,STUDENT,umaallen3rd.cse@citchennai.net
22CS023,Laura Hernandez,STUDENT,laurahernandez3rd.cse@citchennai.net
22CS024,Bob Harris,STUDENT,bobharris3rd.cse@citchennai.net
22CS025,Caleb Taylor,STUDENT,calebtaylor3rd.cse@citchennai.net
22CS026,Bella Garcia,STUDENT,bellagarcia3rd.cse@citchennai.net
22CS027,Nina Garcia,STUDENT,ninagarcia3rd.cse@citchennai.net
22CS028,Julia Allen,STUDENT,juliaallen3rd.cse@citchennai.net
22CS029,Diana Anderson,STUDENT,dianaanderson3rd.cse@citchennai.net
22CS030,Grace Brown,STUDENT,gracebrown3rd.cse@citchennai.net
22CS031,Fiona Robinson,STUDENT,fionarobinson3rd.cse@citchennai.net
22CS032,Rachel Johnson,STUDENT,racheljohnson3rd.cse@citchennai.net
22CS033,Jane Williams,STUDENT,janewilliams3rd.cse@citchennai.net
22CS034,Paula Jackson,STUDENT,paulajackson3rd.cse@citchennai.net
22CS035,Paula Johnson,STUDENT,paulajohnson3rd.cse@citchennai.net
22CS036,Chloe Young,STUDENT,chloeyoung3rd.cse@citchennai.net
22CS037,Tina Martinez,STUDENT,tinamartinez3rd.cse@citchennai.net
22CS038,Nina Johnson,STUDENT,ninajohnson3rd.cse@citchennai.net
22CS039,Bella Davis,STUDENT,belladavis3rd.cse@citchennai.net
22CS040,Tina Smith,STUDENT,tinasmith3rd.cse@citchennai.net
22CS041,Wendy Lee,STUDENT,wendylee3rd.cse@citchennai.net
22CS042,Chloe Davis,STUDENT,chloedavis3rd.cse@citchennai.net
22CS043,Lily Hall,STUDENT,lilyhall3rd.cse@citchennai.net
22CS044,Diana White,STUDENT,dianawhite3rd.cse@citchennai.net
22CS045,Daniel Martinez,STUDENT,danielmartinez3rd.cse@citchennai.net
22CS046,Mike Jackson,STUDENT,mikejackson3rd.cse@citchennai.net
22CS047,Mike Smith,STUDENT,mikesmith3rd.cse@citchennai.net
22CS048,Sam Young,STUDENT,samyoung3rd.cse@citchennai.net
22CS049,Ethan Thompson,STUDENT,ethanthompson3rd.cse@citchennai.net
22CS050,Lily Wilson,STUDENT,lilywilson3rd.cse@citchennai.net
22CS051,Kevin Thompson,STUDENT,kevinthompson3rd.cse@citchennai.net
22CS052,Jane Lewis,STUDENT,janelewis3rd.cse@citchennai.net
22CS053,Hannah Hernandez,STUDENT,hannahhernandez3rd.cse@citchennai.net
22CS054,Laura Jones,STUDENT,laurajones3rd.cse@citchennai.net
22CS055,Hannah Martinez,STUDENT,hannahmartinez3rd.cse@citchennai.net
22CS056,Ethan Rodriguez,STUDENT,ethanrodriguez3rd.cse@citchennai.net
22CS057,Aiden Jones,STUDENT,aidenjones3rd.cse@citchennai.net
22CS058,Oliver White,STUDENT,oliverwhite3rd.cse@citchennai.net
22CS059,Victor Hall,STUDENT,victorhall3rd.cse@citchennai.net
22CS060,Grace Lee,STUDENT,gracelee3rd.cse@citchennai.net
21CS001,Ethan Miller,STUDENT,ethanmiller4th.cse@citchennai.net
21CS002,Sam Hall,STUDENT,samhall4th.cse@citchennai.net
21CS003,Henry Hall,STUDENT,henryhall4th.cse@citchennai.net
21CS004,Alice Hernandez,STUDENT,alicehernandez4th.cse@citchennai.net
21CS005,Tina White,STUDENT,tinawhite4th.cse@citchennai.net
21CS006,Sam Thomas,STUDENT,samthomas4th.cse@citchennai.net
21CS007,Julia Martinez,STUDENT,juliamartinez4th.cse@citchennai.net
21CS008,Nina Thomas,STUDENT,ninathomas4th.cse@citchennai.net
21CS009,John Allen,STUDENT,johnallen4th.cse@citchennai.net
21CS010,Ethan Harris,STUDENT,ethanharris4th.cse@citchennai.net
21CS011,Oliver Allen,STUDENT,oliverallen4th.cse@citchennai.net
21CS012,Ian Anderson,STUDENT,iananderson4th.cse@citchennai.net
21CS013,Xavier Jackson,STUDENT,xavierjackson4th.cse@citchennai.net
21CS014,Wendy Lewis,STUDENT,wendylewis4th.cse@citchennai.net
21CS015,Daniel Williams,STUDENT,danielwilliams4th.cse@citchennai.net
21CS016,Mike Hernandez,STUDENT,mikehernandez4th.cse@citchennai.net
21CS017,Nina White,STUDENT,ninawhite4th.cse@citchennai.net
21CS018,Bella Hall,STUDENT,bellahall4th.cse@citchennai.net
21CS019,Charlie Davis,STUDENT,charliedavis4th.cse@citchennai.net
21CS020,Nina Martin,STUDENT,ninamartin4th.cse@citchennai.net
21CS021,Ian Johnson,STUDENT,ianjohnson4th.cse@citchennai.net
21CS022,Quinn Martin,STUDENT,quinnmartin4th.cse@citchennai.net
21CS023,Wendy Wilson,STUDENT,wendywilson4th.cse@citchennai.net
21CS024,Grace White,STUDENT,gracewhite4th.cse@citchennai.net
21CS025,Aiden Moore,STUDENT,aidenmoore4th.cse@citchennai.net
21CS026,Bob Martinez,STUDENT,bobmartinez4th.cse@citchennai.net
21CS027,Caleb Hernandez,STUDENT,calebhernandez4th.cse@citchennai.net
21CS028,Caleb Clark,STUDENT,calebclark4th.cse@citchennai.net
21CS029,Aiden Martin,STUDENT,aidenmartin4th.cse@citchennai.net
21CS030,Bella Davis,STUDENT,belladavis4th.cse@citchennai.net
24EC001,Chloe Robinson,STUDENT,chloerobinson1st.ece@citchennai.net
24EC002,Hannah Rodriguez,STUDENT,hannahrodriguez1st.ece@citchennai.net
24EC003,Lily Jones,STUDENT,lilyjones1st.ece@citchennai.net
24EC004,Zack Harris,STUDENT,zackharris1st.ece@citchennai.net
24EC005,Bob Anderson,STUDENT,bobanderson1st.ece@citchennai.net
24EC006,Zack Martinez,STUDENT,zackmartinez1st.ece@citchennai.net
24EC007,Oliver Jones,STUDENT,oliverjones1st.ece@citchennai.net
24EC008,Finn Jones,STUDENT,finnjones1st.ece@citchennai.net
24EC009,Bob Johnson,STUDENT,bobjohnson1st.ece@citchennai.net
24EC010,Jane Allen,STUDENT,janeallen1st.ece@citchennai.net
24EC011,Finn Walker,STUDENT,finnwalker1st.ece@citchennai.net
24EC012,Oliver Smith,STUDENT,oliversmith1st.ece@citchennai.net
24EC013,Yara Young,STUDENT,yarayoung1st.ece@citchennai.net
24EC014,Rachel Thomas,STUDENT,rachelthomas1st.ece@citchennai.net
24EC015,Henry Harris,STUDENT,henryharris1st.ece@citchennai.net
24EC016,Yara Smith,STUDENT,yarasmith1st.ece@citchennai.net
24EC017,Bella King,STUDENT,bellaking1st.ece@citchennai.net
24EC018,Bob Miller,STUDENT,bobmiller1st.ece@citchennai.net
24EC019,Ethan Hall,STUDENT,ethanhall1st.ece@citchennai.net
24EC020,Ethan Clark,STUDENT,ethanclark1st.ece@citchennai.net
24EC021,Mike Jackson,STUDENT,mikejackson1st.ece@citchennai.net
24EC022,Sam Anderson,STUDENT,samanderson1st.ece@citchennai.net
24EC023,Julia Williams,STUDENT,juliawilliams1st.ece@citchennai.net
24EC024,Fiona Rodriguez,STUDENT,fionarodriguez1st.ece@citchennai.net
24EC025,Paula King,STUDENT,paulaking1st.ece@citchennai.net
24EC026,Xavier Jones,STUDENT,xavierjones1st.ece@citchennai.net
24EC027,Kevin Brown,STUDENT,kevinbrown1st.ece@citchennai.net
24EC028,Daniel Williams,STUDENT,danielwilliams1st.ece@citchennai.net
24EC029,Ian Brown,STUDENT,ianbrown1st.ece@citchennai.net
24EC030,Nina Young,STUDENT,ninayoung1st.ece@citchennai.net
24EC031,Jane Jones,STUDENT,janejones1st.ece@citchennai.net
24EC032,Victor Jones,STUDENT,victorjones1st.ece@citchennai.net
24EC033,Zack Thompson,STUDENT,zackthompson1st.ece@citchennai.net
24EC034,Daniel Lewis,STUDENT,daniellewis1st.ece@citchennai.net
24EC035,Zack Young,STUDENT,zackyoung1st.ece@citchennai.net
24EC036,Charlie Davis,STUDENT,charliedavis1st.ece@citchennai.net
24EC037,Fiona Rodriguez,STUDENT,fionarodriguez1st.ece@citchennai.net
24EC038,Sam Miller,STUDENT,sammiller1st.ece@citchennai.net
24EC039,Hannah Moore,STUDENT,hannahmoore1st.ece@citchennai.net
24EC040,Charlie Lee,STUDENT,charlielee1st.ece@citchennai.net
24EC041,Ian Williams,STUDENT,ianwilliams1st.ece@citchennai.net
24EC042,Henry Lewis,STUDENT,henrylewis1st.ece@citchennai.net
24EC043,Xavier Williams,STUDENT,xavierwilliams1st.ece@citchennai.net
24EC044,George Smith,STUDENT,georgesmith1st.ece@citchennai.net
24EC045,Rachel Jackson,STUDENT,racheljackson1st.ece@citchennai.net
24EC046,Nina Johnson,STUDENT,ninajohnson1st.ece@citchennai.net
24EC047,Nina White,STUDENT,ninawhite1st.ece@citchennai.net
24EC048,Kevin Brown,STUDENT,kevinbrown1st.ece@citchennai.net
24EC049,Jack Walker,STUDENT,jackwalker1st.ece@citchennai.net
24EC050,Quinn Allen,STUDENT,quinnallen1st.ece@citchennai.net
24EC051,Fiona Miller,STUDENT,fionamiller1st.ece@citchennai.net
24EC052,Paula Johnson,STUDENT,paulajohnson1st.ece@citchennai.net
24EC053,Daniel Moore,STUDENT,danielmoore1st.ece@citchennai.net
24EC054,Zack Martinez,STUDENT,zackmartinez1st.ece@citchennai.net
24EC055,Quinn Harris,STUDENT,quinnharris1st.ece@citchennai.net
24EC056,Laura Davis,STUDENT,lauradavis1st.ece@citchennai.net
24EC057,Victor Hernandez,STUDENT,victorhernandez1st.ece@citchennai.net
24EC058,Paula Allen,STUDENT,paulaallen1st.ece@citchennai.net
24EC059,Rachel Young,STUDENT,rachelyoung1st.ece@citchennai.net
24EC060,Diana Anderson,STUDENT,dianaanderson1st.ece@citchennai.net
24EC061,Bella Jackson,STUDENT,bellajackson1st.ece@citchennai.net
24EC062,Caleb Walker,STUDENT,calebwalker1st.ece@citchennai.net
24EC063,Henry Brown,STUDENT,henrybrown1st.ece@citchennai.net
24EC064,Wendy Davis,STUDENT,wendydavis1st.ece@citchennai.net
24EC065,Victor White,STUDENT,victorwhite1st.ece@citchennai.net
24EC066,Jane Wilson,STUDENT,janewilson1st.ece@citchennai.net
24EC067,Ian Young,STUDENT,ianyoung1st.ece@citchennai.net
24EC068,Bella Smith,STUDENT,bellasmith1st.ece@citchennai.net
24EC069,Isabella Thompson,STUDENT,isabellathompson1st.ece@citchennai.net
24EC070,Victor Clark,STUDENT,victorclark1st.ece@citchennai.net
24EC071,Laura Garcia,STUDENT,lauragarcia1st.ece@citchennai.net
24EC072,Oliver Martinez,STUDENT,olivermartinez1st.ece@citchennai.net
24EC073,George Johnson,STUDENT,georgejohnson1st.ece@citchennai.net
24EC074,Chloe Young,STUDENT,chloeyoung1st.ece@citchennai.net
24EC075,Zack Taylor,STUDENT,zacktaylor1st.ece@citchennai.net
