id,name,role,mobile_number
ADV060,Dr. Uma Prakash,ADVISOR,8790727486
ADV061,Dr. Tamil Moorthy,ADVISOR,7001530042
ADV062,Dr. Mani Moorthy,ADVISOR,9130731033
ADV063,Dr. Omprakash Murugan,ADVISOR,6059611345
ADV064,Prof. Gopal Vignesh,ADVISOR,8688303910
ADV065,Dr. Mani Shankar,ADVISOR,6415941646
ADV066,Dr. Karthik Nair,ADVISOR,9159626142
ADV067,Prof. Gopal Kumar,ADVISOR,9904382109
ADV068,Prof. Chitra Murugan,ADVISOR,6375379427
ADV069,Prof. Uma Shankar,ADVISOR,9311929407
ADV070,Prof. Priya Varman,ADVISOR,7783363433
ADV071,Dr. Rajesh Kumar,ADVISOR,6556135132
ADV072,Prof. Gopal Prakash,ADVISOR,8106982571
ADV073,Prof. Malini Varman,ADVISOR,9093723289
ADV074,Dr. Omprakash Meena,ADVISOR,8954645986
ADV075,Dr. Sundar Prakash,ADVISOR,9963302240
ADV076,Prof. Arun Shankar,ADVISOR,6277679641
ADV077,Prof. Farina Pillai,ADVISOR,7170544686
ADV078,Dr. Jagan Meena,ADVISOR,6524765186
ADV079,Dr. Sanjay Devi,ADVISOR,9920655236
ADV080,Dr. Harini Ganesh,ADVISOR,6129100849
ADV081,Dr. Deepak Baskaran,ADVISOR,7737456167
ADV082,Dr. Indu Baskaran,ADVISOR,6930560210
ADV083,Dr. Harini Kumar,ADVISOR,8091237110
ADV084,Dr. Malini Moorthy,ADVISOR,8081473577
ADV085,Prof. Sanjay Sami,ADVISOR,7159040256
ADV086,Prof. Deepak Meena,ADVISOR,8529816117
ADV087,Dr. Omprakash Devi,ADVISOR,8021170751
ADV088,Prof. Rajesh Sami,ADVISOR,7964789079
ADV089,Prof. Sundar Varman,ADVISOR,6547715785
ADV090,Dr. Naveen Moorthy,ADVISOR,9174870847
ADV091,Prof. Latha Rajan,ADVISOR,6744989835
ADV092,Prof. Uma Vignesh,ADVISOR,8919478126
ADV093,Dr. Omprakash Prakash,ADVISOR,7020579709
ADV094,Prof. Mani Nathan,ADVISOR,9719042004
ADV095,Dr. Kavitha Pillai,ADVISOR,9483477367
ADV096,Dr. Deepak Sami,ADVISOR,8480423893
ADV097,Dr. Deepak Moorthy,ADVISOR,8454096811
ADV098,Prof. Rajesh Baskaran,ADVISOR,8738644092
ADV099,Dr. Anitha Devi,ADVISOR,6081541294
ADV100,Dr. Naveen Nathan,ADVISOR,7558315381
ADV101,Prof. Anitha Varman,ADVISOR,8428147634
ADV102,Dr. Rajesh Ganesh,ADVISOR,9507340132
ADV103,Prof. Indu Shankar,ADVISOR,7417476664
ADV104,Prof. Karthik Ganesh,ADVISOR,6583190653
ADV105,Prof. Malini Devi,ADVISOR,7118727211
ADV106,Prof. Suresh Ganesh,ADVISOR,7528652866
ADV107,Prof. Suresh Nathan,ADVISOR,8651458346
ADV108,Dr. Mani Sami,ADVISOR,9092788598
ADV109,Prof. Latha Iyer,ADVISOR,9788060866
ADV110,Dr. Naveen Meena,ADVISOR,6812228485
ADV111,Prof. Gopal Murugan,ADVISOR,9409570249
ADV112,Dr. Jagan Pillai,ADVISOR,7039685536
ADV113,Prof. Bala Baskaran,ADVISOR,6788895742
ADV114,Dr. Naveen Nair,ADVISOR,7995628304
ADV115,Prof. Karthik Pillai,ADVISOR,8168496709
ADV116,Prof. Chitra Prakash,ADVISOR,8343213056
ADV117,Dr. Farina Varman,ADVISOR,7052766579
ADV118,Prof. Sanjay Moorthy,ADVISOR,7695477346
ADV119,Prof. Rajesh Rajan,ADVISOR,6690469359
ADV120,Prof. Farina Baskaran,ADVISOR,9304856190
ADV121,Dr. Malini Shankar,ADVISOR,6806109586
ADV122,Prof. Latha Prakash,ADVISOR,8817691575
ADV123,Dr. Sanjay Ganesh,ADVISOR,9270888977
ADV124,Prof. Priya Nathan,ADVISOR,6692718362
ADV125,Prof. Deepak Iyer,ADVISOR,6364322262
ADV126,Prof. Kavitha Baskaran,ADVISOR,6455041633
ADV127,Prof. Mani Nair,ADVISOR,9363495970
ADV128,Prof. Mani Rajan,ADVISOR,9861167906
ADV129,Prof. Gopal Reddy,ADVISOR,7266381971
ADV130,Prof. Indu Prakash,ADVISOR,9248917735
ADV131,Dr. Harini Rajan,ADVISOR,7083893880
ADV132,Dr. Arun Devi,ADVISOR,9413972794
ADV133,Prof. Uma Varman,ADVISOR,8432908418
ADV134,Prof. Omprakash Moorthy,ADVISOR,9209052587
ADV135,Prof. Karthik Reddy,ADVISOR,8422501927
ADV136,Dr. Kavitha Prakash,ADVISOR,9280870888
ADV137,Dr. Deepak Nair,ADVISOR,8156730752
ADV138,Prof. Jagan Iyer,ADVISOR,7303874712
ADV139,Prof. Malini Murugan,ADVISOR,9378784726
ADV140,Dr. Indu Moorthy,ADVISOR,8242450482
HOD001,Dr. Chitra Ganesh,HOD,9966661299
HOD002,Dr. Arulnath,HOD,8683371430
HOD003,Dr. Latha Ganesh,HOD,9244450138
HOD004,Dr. Jagan Selvan,HOD,8390358518
HOD005,Dr. Priya Devi,HOD,6219611756
HOD006,Dr. Tamil Selvan,HOD,8012135662
HOD007,Prof. Jagan Lakshmi,HOD,7836411347
HOD008,Dr. Tamil Devi,HOD,7926854179
HOD009,Dr. Suresh Pillai,HOD,9991800354
HOD010,Prof. Omprakash Nair,HOD,6436193389
HOD011,Dr. Sundar Shankar,HOD,9125313345
HOD012,Prof. Kavitha Sami,HOD,8129349194
HOD013,Prof. Omprakash Kumar,HOD,6261037823
HOD014,Prof. Latha Devi,HOD,6235179984
