id,name,role,mobile_number
ADV040,Prof. Bala Meena,ADVISOR,6715787527
ADV041,Dr. Indu Nair,ADVISOR,7587092326
ADV042,Dr. Sundar Ganesh,ADVISOR,8293329981
ADV043,Prof. Chitra Varman,ADVISOR,9307667520
ADV044,Prof. Latha Murugan,ADVISOR,8562743689
ADV045,Prof. Chitra Shankar,ADVISOR,9126851284
ADV046,Prof. Suresh Devi,ADVISOR,6021948453
ADV047,Prof. Sanjay Varman,ADVISOR,6822213009
ADV048,Prof. Deepak Devi,ADVISOR,9596750479
ADV049,Prof. Gopal Iyer,ADVISOR,7734779960
ADV050,Dr. Malini Pillai,ADVISOR,9318122384
ADV051,Dr. Malini Nathan,ADVISOR,6518923648
ADV052,Prof. Anitha Nathan,ADVISOR,6629187286
ADV053,Dr. Sundar Reddy,ADVISOR,8808555516
ADV054,Dr. Arun Selvan,ADVISOR,7109035602
ADV055,Dr. Naveen Ganesh,ADVISOR,9814985207
ADV056,Dr. Bala Varman,ADVISOR,7764064439
ADV057,Dr. Karthik Ganesh,ADVISOR,6962560794
ADV058,Dr. Anitha Prakash,ADVISOR,9290424588
ADV059,Prof. Uma Prakash,ADVISOR,7634307945
ADV060,Dr. Sanjay Pillai,ADVISOR,7557707512
ADV061,Dr. Uma Nair,ADVISOR,7054717287
ADV062,Prof. Deepak Prakash,ADVISOR,7374773132
ADV063,Prof. Uma Varman,ADVISOR,7520097839
ADV064,Prof. Gopal Prakash,ADVISOR,8663551732
ADV065,Dr. Bala Selvan,ADVISOR,8013165293
ADV066,Dr. Eshwar Baskaran,ADVISOR,8657681772
ADV067,Dr. Deepak Baskaran,ADVISOR,7199039356
ADV068,Dr. Tamil Reddy,ADVISOR,6427833266
ADV069,Dr. Uma Vignesh,ADVISOR,8656766792
ADV070,Dr. Chitra Vignesh,ADVISOR,6039321658
ADV071,Dr. Mani Kumar,ADVISOR,7753412288
ADV072,Dr. Omprakash Reddy,ADVISOR,9632179757
ADV073,Dr. Deepak Shankar,ADVISOR,8312744821
ADV074,Dr. Naveen Nathan,ADVISOR,8653973705
ADV075,Dr. Malini Iyer,ADVISOR,8963734618
ADV076,Dr. Omprakash Devi,ADVISOR,6522758760
ADV077,Dr. Farina Vignesh,ADVISOR,9554121273
ADV078,Prof. Chitra Rajan,ADVISOR,6061360001
ADV079,Prof. Uma Lakshmi,ADVISOR,8176407983
ADV080,Prof. Naveen Nair,ADVISOR,8033567073
ADV081,Dr. Farina Murugan,ADVISOR,8915354856
ADV082,Dr. Kavitha Prakash,ADVISOR,7994080644
ADV083,Prof. Deepak Pillai,ADVISOR,8245224599
ADV084,Dr. Priya Devi,ADVISOR,7218244421
ADV085,Dr. Farina Sami,ADVISOR,6495973565
ADV086,Dr. Indu Devi,ADVISOR,7874885775
ADV087,Dr. Malini Rajan,ADVISOR,7822019742
ADV088,Prof. Sanjay Nair,ADVISOR,8075386666
ADV089,Dr. Rajesh Baskaran,ADVISOR,9764876754
ADV090,Dr. Latha Vignesh,ADVISOR,9108187538
ADV091,Dr. Gopal Shankar,ADVISOR,8366902807
ADV092,Dr. Farina Meena,ADVISOR,7709068474
ADV093,Prof. Sanjay Meena,ADVISOR,9526003547
ADV094,Prof. Deepak Murugan,ADVISOR,7062285126
ADV095,Prof. Indu Selvan,ADVISOR,6002698871
ADV096,Dr. Harini Rajan,ADVISOR,6834129740
ADV097,Prof. Suresh Lakshmi,ADVISOR,7095997719
ADV098,Prof. Latha Lakshmi,ADVISOR,6056390293
ADV099,Dr. Deepak Sami,ADVISOR,6934052606
ADV100,Dr. Kavitha Varman,ADVISOR,7370590743
ADV101,Dr. Chitra Pillai,ADVISOR,6955476999
ADV102,Dr. Priya Nathan,ADVISOR,6433368050
ADV103,Prof. Latha Rajan,ADVISOR,8560579495
ADV104,Prof. Gopal Reddy,ADVISOR,9674465306
ADV105,Dr. Naveen Selvan,ADVISOR,6083121368
ADV106,Prof. Eshwar Murugan,ADVISOR,6588153904
ADV107,Prof. Eshwar Selvan,ADVISOR,6948312645
ADV108,Prof. Uma Moorthy,ADVISOR,7981249531
ADV109,Prof. Deepak Lakshmi,ADVISOR,9922976397
ADV110,Prof. Kavitha Kumar,ADVISOR,9184526115
ADV111,Prof. Kavitha Iyer,ADVISOR,8371093340
ADV112,Dr. Harini Murugan,ADVISOR,9089845451
ADV113,Prof. Anitha Shankar,ADVISOR,9095189147
ADV114,Dr. Suresh Moorthy,ADVISOR,9572423861
ADV115,Prof. Karthik Sami,ADVISOR,8808818337
ADV116,Dr. Chitra Nathan,ADVISOR,9942391468
ADV117,Prof. Indu Sami,ADVISOR,7084041018
ADV118,Prof. Malini Shankar,ADVISOR,7115752723
ADV119,Dr. Sundar Nair,ADVISOR,6394117698
ADV120,Prof. Bala Ganesh,ADVISOR,9523723853
ADV121,Dr. Rajesh Devi,ADVISOR,8043203722
ADV122,Prof. Jagan Iyer,ADVISOR,6917628616
ADV123,Dr. Harini Devi,ADVISOR,7144094590
ADV124,Prof. Chitra Reddy,ADVISOR,7720309607
ADV125,Dr. Harini Shankar,ADVISOR,6248992534
ADV126,Prof. Sundar Sami,ADVISOR,6059770765
ADV127,Dr. Deepak Ganesh,ADVISOR,8077111761
ADV128,Dr. Malini Reddy,ADVISOR,6830899270
ADV129,Dr. Eshwar Nathan,ADVISOR,6211036941
ADV130,Prof. Farina Selvan,ADVISOR,6304370244
ADV131,Dr. Priya Meena,ADVISOR,8961010984
ADV132,Prof. Uma Pillai,ADVISOR,9955729717
ADV133,Prof. Malini Lakshmi,ADVISOR,6647614448
ADV134,Dr. Anitha Devi,ADVISOR,9421416387
ADV135,Dr. Naveen Vignesh,ADVISOR,6326027703
ADV136,Prof. Eshwar Nair,ADVISOR,6848941146
ADV137,Dr. Tamil Shankar,ADVISOR,8487576897
ADV138,Dr. Harini Meena,ADVISOR,8421380069
ADV139,Dr. Indu Rajan,ADVISOR,8237229048
ADV140,Dr. Arun Sami,ADVISOR,7222493891
HOD001,Dr. Mani Prakash,HOD,8441233503
HOD002,Dr. Deepak Nathan,HOD,6947778552
HOD003,Dr. Jagan Reddy,HOD,6506957695
HOD004,Prof. Omprakash Iyer,HOD,6651166913
HOD005,Prof. Indu Moorthy,HOD,9385182346
HOD006,Prof. Jagan Nair,HOD,8160859701
HOD007,Dr. Anitha Moorthy,HOD,7094745611
HOD008,Prof. Malini Devi,HOD,8074623502
HOD009,Dr. Karthik Devi,HOD,9133177874
HOD010,Dr. Rajesh Vignesh,HOD,7910400941
HOD011,Prof. Mani Reddy,HOD,7388224642
HOD012,Prof. Chitra Kumar,HOD,7936091053
HOD013,Dr. Priya Prakash,HOD,6017209266
HOD014,Dr. Malini Sami,HOD,8050187471
25EC002,Sabareesh Kumar,STUDENT,9876543210
25EC003,Prathik Raj P,STUDENT,9876543211
