id,name,cgpa,marks,department,yearOfStudy,className,classAdvisorName
24CS003,Sam Taylor,5.92,67.8,CSE,1st,CSE-3,Dr. Jagan Nair
24CS004,Quinn White,7.85,68.9,CSE,1st,CSE-3,Dr. Jagan Nair
24CS005,Oliver Smith,8.98,61.9,CSE,1st,CSE-3,Dr. Jagan Nair
24CS006,Quinn White,7.94,71.9,CSE,1st,CSE-3,Dr. Jagan Nair
24CS007,Kevin Harris,9.59,83.2,CSE,1st,CSE-3,Dr. Jagan Nair
24CS008,Diana Lee,7.43,66.4,CSE,1st,CSE-3,Dr. Jagan Nair
24CS009,Henry Taylor,10.0,91.0,CSE,1st,CSE-3,Dr. Jagan Nair
24CS010,Tina Hernandez,6.29,59.9,CSE,1st,CSE-3,Dr. Jagan Nair
24CS011,Sam Martin,6.98,52.8,CSE,1st,CSE-3,Dr. Jagan Nair
24CS012,Mike Martinez,8.26,84.2,CSE,1st,CSE-3,Dr. Jagan Nair
24CS013,Rachel Miller,10.0,91.2,CSE,1st,CSE-3,Dr. Jagan Nair
24CS014,Isabella Smith,8.27,65.4,CSE,1st,CSE-3,Dr. Jagan Nair
24CS015,Bella Thompson,9.67,97.9,CSE,1st,CSE-3,Dr. Jagan Nair
24CS016,Henry Miller,6.85,53.8,CSE,1st,CSE-3,Dr. Jagan Nair
24CS017,Tina Lewis,6.39,62.2,CSE,1st,CSE-3,Dr. Jagan Nair
24CS018,Kevin Brown,6.51,50.2,CSE,1st,CSE-3,Dr. Jagan Nair
24CS019,Henry Taylor,7.7,62.2,CSE,1st,CSE-3,Dr. Jagan Nair
24CS020,Mike Williams,7.31,57.1,CSE,1st,CSE-3,Dr. Jagan Nair
24CS021,Quinn King,8.08,58.2,CSE,1st,CSE-3,Dr. Jagan Nair
24CS022,Charlie Lewis,7.78,69.3,CSE,1st,CSE-3,Dr. Jagan Nair
24CS023,Paula Harris,8.37,87.2,CSE,1st,CSE-3,Dr. Jagan Nair
24CS024,John Johnson,7.93,62.6,CSE,1st,CSE-3,Dr. Jagan Nair
24CS025,Xavier Brown,9.59,84.9,CSE,1st,CSE-3,Dr. Jagan Nair
24CS026,Ethan Miller,8.1,78.3,CSE,1st,CSE-3,Dr. Jagan Nair
24CS027,Sam Allen,7.82,82.1,CSE,1st,CSE-3,Dr. Jagan Nair
24CS028,Ethan Hernandez,9.98,93.1,CSE,1st,CSE-3,Dr. Jagan Nair
24CS029,Xavier Robinson,8.12,79.6,CSE,1st,CSE-3,Dr. Jagan Nair
24CS030,Uma Young,6.82,74.4,CSE,1st,CSE-3,Dr. Jagan Nair
24CS001,Henry Lewis,7.16,49.8,CSE,1st,CSE-4,Dr. Farina Kumar
24CS002,Zack Thomas,7.76,72.7,CSE,1st,CSE-4,Dr. Farina Kumar
24CS003,Alice Martin,6.82,64.5,CSE,1st,CSE-4,Dr. Farina Kumar
24CS004,Finn White,8.19,81.8,CSE,1st,CSE-4,Dr. Farina Kumar
24CS005,Emily Harris,8.97,94.3,CSE,1st,CSE-4,Dr. Farina Kumar
24CS006,Quinn Lewis,5.93,56.5,CSE,1st,CSE-4,Dr. Farina Kumar
24CS007,Fiona Young,8.31,73.6,CSE,1st,CSE-4,Dr. Farina Kumar
24CS008,Yara Wilson,6.94,67.6,CSE,1st,CSE-4,Dr. Farina Kumar
24CS009,Emily Allen,6.66,47.5,CSE,1st,CSE-4,Dr. Farina Kumar
24CS010,Ethan Hernandez,8.49,86.2,CSE,1st,CSE-4,Dr. Farina Kumar
24CS011,Laura Johnson,7.87,75.8,CSE,1st,CSE-4,Dr. Farina Kumar
24CS012,Daniel King,6.48,58.9,CSE,1st,CSE-4,Dr. Farina Kumar
24CS013,Tina Johnson,7.23,58.6,CSE,1st,CSE-4,Dr. Farina Kumar
24CS014,Grace Williams,6.85,68.3,CSE,1st,CSE-4,Dr. Farina Kumar
24CS015,Caleb Hall,8.58,87.6,CSE,1st,CSE-4,Dr. Farina Kumar
24CS016,Charlie Lee,8.5,70.0,CSE,1st,CSE-4,Dr. Farina Kumar
24CS017,Wendy Brown,9.42,88.3,CSE,1st,CSE-4,Dr. Farina Kumar
24CS018,Grace Lewis,8.81,95.3,CSE,1st,CSE-4,Dr. Farina Kumar
24CS019,Hannah Young,6.89,60.2,CSE,1st,CSE-4,Dr. Farina Kumar
24CS020,Chloe Davis,7.54,74.0,CSE,1st,CSE-4,Dr. Farina Kumar
24CS021,Ian Thomas,8.86,75.2,CSE,1st,CSE-4,Dr. Farina Kumar
24CS022,Zack King,8.11,79.5,CSE,1st,CSE-4,Dr. Farina Kumar
24CS023,Isabella Brown,9.42,81.5,CSE,1st,CSE-4,Dr. Farina Kumar
24CS024,Jane Garcia,7.78,87.4,CSE,1st,CSE-4,Dr. Farina Kumar
24CS025,Charlie Martin,7.78,79.4,CSE,1st,CSE-4,Dr. Farina Kumar
24CS026,Julia Rodriguez,8.18,78.5,CSE,1st,CSE-4,Dr. Farina Kumar
24CS027,Henry Hall,8.03,69.1,CSE,1st,CSE-4,Dr. Farina Kumar
24CS028,Kevin Miller,8.98,77.1,CSE,1st,CSE-4,Dr. Farina Kumar
24CS029,Daniel King,8.81,93.5,CSE,1st,CSE-4,Dr. Farina Kumar
24CS030,Alice White,8.99,92.1,CSE,1st,CSE-4,Dr. Farina Kumar
23CS001,Isabella Hall,7.69,79.0,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS002,Xavier Young,9.14,79.3,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS003,Oliver Hall,9.45,92.5,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS004,Victor Garcia,7.95,76.6,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS005,Jack Anderson,8.81,80.3,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS006,Ethan Brown,7.59,67.1,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS007,Mike Lewis,7.08,57.7,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS008,Oliver Wilson,8.4,65.6,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS009,Bob Johnson,8.44,72.4,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS010,Uma Moore,7.19,67.0,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS011,Daniel Thomas,10.0,77.5,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS012,Hannah Taylor,6.53,68.7,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS013,Daniel Jackson,8.59,73.9,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS014,Rachel White,6.76,57.8,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS015,Paula Taylor,7.01,71.5,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS016,Jane Young,8.17,72.5,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS017,Aiden Hall,6.91,49.3,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS018,Daniel Taylor,7.06,61.9,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS019,Henry Martinez,9.78,84.6,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS020,Caleb Hernandez,5.71,41.7,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS021,Henry Robinson,8.25,74.2,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS022,Bob Thomas,7.96,66.6,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS023,Grace White,8.03,69.8,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS024,Ethan Rodriguez,8.25,77.9,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS025,Oliver Robinson,7.55,59.1,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS026,Nina Martin,8.02,73.1,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS027,Oliver King,8.13,66.5,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS028,Zack Thomas,6.39,61.6,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS029,Grace Anderson,9.49,81.7,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS030,Alice King,9.61,80.4,CSE,2nd,CSE-5,Dr. Mani Kumar
23CS001,Rachel Taylor,7.39,56.6,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS002,Daniel Anderson,6.12,59.4,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS003,Kevin Anderson,7.51,68.9,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS004,Sam Moore,7.66,58.3,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS005,Charlie Martin,7.43,73.3,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS006,Victor Thomas,6.55,67.8,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS007,Jane Young,7.14,60.9,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS008,Zack Miller,7.67,70.2,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS009,Ethan Walker,8.55,77.2,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS010,Quinn Wilson,6.71,69.4,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS011,Henry Allen,7.83,60.0,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS012,Mike Clark,7.62,69.8,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS013,Caleb Robinson,6.48,71.2,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS014,Yara Taylor,9.99,98.8,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS015,Victor Jones,6.92,56.2,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS016,Jack Davis,9.99,85.3,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS017,Paula Johnson,6.95,66.2,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS018,Daniel Miller,8.05,70.8,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS019,Isabella Smith,7.46,63.9,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS020,Jane Robinson,8.52,76.4,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS021,Diana Moore,6.8,70.0,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS022,Oliver Clark,7.28,67.9,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS023,Jane Walker,7.86,63.5,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS024,Yara Jones,7.87,68.8,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS025,Daniel Hall,7.97,78.7,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS026,Tina Walker,6.24,60.8,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS027,Fiona Hernandez,6.72,53.8,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS028,Kevin Anderson,6.0,63.1,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS029,Lily Rodriguez,9.34,85.8,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS030,Caleb Hall,8.59,77.5,CSE,2nd,CSE-6,Prof. Rajesh Varman
23CS001,Jane Johnson,9.11,83.3,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS002,Uma Thomas,6.03,55.8,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS003,Laura Wilson,7.59,72.0,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS004,Victor Martin,7.75,65.5,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS005,Grace Martin,7.0,67.0,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS006,Lily Young,7.71,62.6,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS007,Uma Jackson,6.54,65.8,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS008,Aiden Martin,8.54,78.8,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS009,Chloe White,7.49,78.6,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS010,Victor Jackson,9.05,92.0,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS011,Yara Walker,8.0,73.3,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS012,Kevin Thomas,8.09,77.4,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS013,John White,8.35,77.5,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS014,Wendy Hall,6.81,67.5,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS015,Quinn Anderson,8.84,72.8,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS016,Uma Jones,8.13,69.4,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS017,Rachel Jones,8.41,67.7,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS018,Nina Allen,6.7,53.7,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS019,Jack Jackson,7.04,66.8,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS020,Oliver White,8.2,81.2,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS021,Ethan Walker,6.51,66.5,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS022,Chloe King,8.81,74.0,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS023,Jack Garcia,8.07,66.9,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS024,Lily Jackson,7.44,65.6,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS025,Caleb Smith,7.67,69.3,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS026,Yara Thompson,7.31,79.1,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS027,Henry Young,5.62,58.8,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS028,Wendy Thomas,7.65,73.8,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS029,Paula Robinson,7.35,51.8,CSE,2nd,CSE-7,Dr. Bala Moorthy
23CS030,Daniel Brown,8.22,66.1,CSE,2nd,CSE-7,Dr. Bala Moorthy
22CS001,Caleb Garcia,7.39,72.9,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS002,Xavier Robinson,7.23,60.6,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS003,Bob Lewis,8.31,97.3,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS004,Hannah Wilson,8.93,79.5,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS005,Diana Anderson,7.86,78.8,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS006,Bella Taylor,7.49,72.1,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS007,Kevin Walker,7.27,65.3,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS008,Tina Moore,8.83,81.7,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS009,Isabella Moore,8.69,74.7,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS010,Bella Allen,7.26,71.9,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS011,Rachel Miller,8.11,68.9,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS012,Henry Clark,7.31,70.9,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS013,Nina Jones,8.38,69.1,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS014,Grace Martin,9.6,84.4,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS015,Tina Lewis,6.72,60.4,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS016,Finn Robinson,8.93,100.0,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS017,Henry Smith,7.47,60.2,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS018,Julia Jackson,7.26,62.4,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS019,Victor Allen,9.55,83.7,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS020,John Taylor,7.28,51.9,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS021,Alice Walker,6.74,51.3,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS022,Victor Smith,6.82,52.9,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS023,Zack Harris,7.92,86.0,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS024,Grace Martin,6.5,53.3,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS025,Jack Harris,7.32,81.2,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS026,Daniel Thompson,7.41,62.4,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS027,Diana Robinson,7.2,68.0,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS028,Paula Walker,8.67,81.1,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS029,Lily Jackson,8.68,77.6,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS030,Hannah Rodriguez,6.2,46.2,CSE,3rd,CSE-8,Dr. Chitra Shankar
22CS001,Rachel Lee,7.47,67.7,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS002,Lily Robinson,6.35,81.2,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS003,Aiden Martinez,7.93,69.0,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS004,Julia Davis,7.4,86.8,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS005,Victor Martinez,9.36,90.9,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS006,Finn Martinez,8.06,77.3,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS007,Rachel White,8.18,72.1,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS008,Uma White,7.37,76.7,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS009,Xavier Garcia,7.96,81.9,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS010,Ian Williams,7.33,62.2,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS011,Paula Wilson,9.53,86.4,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS012,Daniel Martinez,7.75,73.5,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS013,Henry Brown,8.41,78.9,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS014,Bella Martin,5.95,40.0,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS015,Oliver Young,7.4,58.9,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS016,Rachel Martin,6.71,50.6,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS017,Ian Harris,7.01,79.3,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS018,Finn Miller,8.02,65.7,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS019,Bob Smith,8.64,73.1,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS020,George Hernandez,6.25,69.8,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS021,Yara Young,7.76,75.9,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS022,Paula Martin,6.66,48.8,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS023,Ethan Wilson,6.83,72.0,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS024,Quinn Davis,7.71,73.4,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS025,Grace Davis,7.78,79.5,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS026,Oliver Miller,7.52,65.3,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS027,Yara Garcia,6.69,65.6,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS028,Victor Martinez,8.92,86.9,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS029,Ethan Anderson,7.75,74.9,CSE,3rd,CSE-9,Dr. Indu Murugan
22CS030,Caleb Hall,8.08,78.5,CSE,3rd,CSE-9,Dr. Indu Murugan
21CS001,Wendy Thomas,6.77,56.1,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS002,Diana Williams,9.57,86.5,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS003,Hannah Jackson,8.16,80.6,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS004,Caleb Williams,5.54,51.1,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS005,Zack Garcia,7.42,66.9,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS006,Nina Walker,8.22,70.1,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS007,Nina Lewis,9.19,67.8,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS008,Finn Walker,7.6,74.3,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS009,Oliver Williams,6.82,64.2,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS010,Emily Martin,5.25,40.0,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS011,Mike King,5.82,50.4,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS012,George Young,7.9,78.3,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS013,Kevin Jackson,8.41,67.6,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS014,Wendy Clark,6.84,55.3,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS015,Chloe Martin,7.46,68.1,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS016,Diana Clark,8.25,76.4,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS017,Victor Allen,7.29,68.9,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS018,Kevin Taylor,7.99,74.1,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS019,Fiona White,8.7,85.5,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS020,Grace Rodriguez,7.58,73.2,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS021,Lily Williams,7.18,51.4,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS022,Grace Rodriguez,6.92,60.5,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS023,Caleb White,7.65,64.1,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS024,Isabella Taylor,7.72,72.4,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS025,Xavier Jackson,6.36,60.5,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS026,Isabella Anderson,7.44,73.3,CSE,4th,CSE-10,Prof. Priya Lakshmi
21CS027,Lily Wilson,6.77,56.3,CSE,4th,CSE-10,Prof. Priya Lakshmi
